tweet_id,account_name,user_id,timestamp,text,links,repiles,retweets,favorites
1246860726746185728,The New York Times,807095,11:02 AM - 5 Apr 2020,Queen Elizabeth II  in a rare televised speech  will urge Britons to confront the coronavirus with self-discipline and resolve. It is only the third time in her 66-year reign that she has made such an address  apart from her annual Christmas message.,https://nyti.ms/2V20IiJ,Null,563,2070
1246812643568111626,M.Farooq Sattar Rizvi,1238013276618981380,7:51 AM - 5 Apr 2020,Null,,Null,29,26
1246809959851003905,Howard Green, MD,1093893686,7:40 AM - 5 Apr 2020,Physicians abilities to fight the  ,,Null,4,18
1246808181503700993,Jℹ️T⛎ Ins🅰️♑,1158925426573529088,7:33 AM - 5 Apr 2020,Null,,Null,24,3
1246804813263888386,The New Yorker,14677919,7:20 AM - 5 Apr 2020,Malcolm Gladwell’s 1997 report on the deadly the Spanish-flu ,http://nyer.cm/cym8QSP,Null,211,613
1246790137855393792,Leisbeth Recto #MassTestingNowPH,906097159891595264,6:21 AM - 5 Apr 2020,DUQUE: PH is 'model country' in fighting COVID-19 ,,Null,38,82
1246763779888689158,Muhammad Bilal 💎,1102611200565825538,4:37 AM - 5 Apr 2020,Biggest Rashan Distribution campaign by ,,Null,30,9
1246633660582936582,People's Daily, China,303862998,8:00 PM - 4 Apr 2020,Over 85% of China's real estate and urban infrastructure projects have resumed construction  with more than 158 000 construction sites back into operation  as the nation calls to resume operation when ,,Null,31,92
1246625990933184513,Bloomberg,34713362,7:29 PM - 4 Apr 2020,Coronavirus latest: - Donald Trump warns of a "very  very deadly period" - Governor Andrew Cuomo predicted New York would soon reach the ,https://trib.al/NS9bCtc,Null,258,462
1246621703720931328,🌺Raju Mehta 🌺,1159516018902835200,7:12 PM - 4 Apr 2020,We all comes forward for helping the destitutes in the ,,Null,29,10
1246598976201265154,Dr. Theresa Tam,2314087860,5:42 PM - 4 Apr 2020,1/4 Today PHAC launched the ,https://bit.ly/2R6pDRd,Null,527,1162
1246598566711263233,Matt Wolking (Text TRUMP to 88022),15725659,5:40 PM - 4 Apr 2020,On February 13  Joe Biden's top coronavirus advisor Ron Klain tweeted: "We don't have a coronavirus ,,Null,1678,2803
1246592683038126082,PBSO,244160739,5:17 PM - 4 Apr 2020,We would like to extend a heartwarming Thank You to the men and women on the front lines of this ,,Null,77,374
1246592551622238209,Scott Desnoyers,4849898158,5:16 PM - 4 Apr 2020,Joe you advocate for free testing and treatment for ,https://www.independent.co.uk/news/world/americas/us-election/bernie-sanders-medicare-for-all-us-healthcare-2020-supporters-a9310296.html,Null,49,143
1246558505756176384,Matt Durrant,976986551375843328,3:01 PM - 4 Apr 2020,Was there a meth ,,Null,2,7
1246554939507322881,John M. Talmadge, MD,3160248614,2:47 PM - 4 Apr 2020,Null,,Null,225,901
1246553641957371906,Epidemic News,829684158754648064,2:42 PM - 4 Apr 2020,Null,,Null,4,26
1246550912555872256,Jeff Thomas Black,785327755214725120,2:31 PM - 4 Apr 2020,“In the suburban communities outside of New York  approximately 10 percent of the swabs submitted are positive. So  the virus is everywhere. And in New York  we know that we are in the ,https://www.caltech.edu/about/news/tip-iceberg-virologist-david-ho-bs-74-speaks-about-covid-19,Null,81,86
1246814401702682627,SAHIL KUMAR,754940428374409216,7:58 AM - 5 Apr 2020,Null,,Null,13,2
1246812418191351808,M.Farooq Sattar Rizvi,1238013276618981380,7:50 AM - 5 Apr 2020,Null,,Null,19,15
1246770552959684608,magicbroomsaint,1161664403109904384,5:03 AM - 5 Apr 2020,Eng Tran(From Chinese Translator)  The main theme with the fifth fan is daily lives  including methods of ,,Null,45,29
1246760436688510977,Awais Javed Satti,332536271,4:23 AM - 5 Apr 2020,Biggest Rashan Distribution campaign by ,,Null,23,12
1246738856306716673,IRAN HRM,819533020176719878,2:58 AM - 5 Apr 2020,Tabriz  NW ,,Null,31,32
1246722552279396352,aniel-ani 🇮🇳,3917836273,1:53 AM - 5 Apr 2020,Let's take a moment and appreciate all the Electricity Workers too for toiling hard in this period of ,,Null,60,78
1246704926115409920,DustTroopa1000,1003355822439780352,12:43 AM - 5 Apr 2020,Night Y'all ,,Null,4,15
1246663836796502021,R.S. Adivasi,1235966230298636288,9:59 PM - 4 Apr 2020,People Who are fighting this ,,Null,148,216
